"","Estimate","StdErr","z.value","p.value"
"C8_QI11766",0,NA,NA,NA
"C8_QI487",0,NA,NA,NA
"C8_QI502",-0.00114131377174362,NA,NA,NA
"C8_QI543",0,NA,NA,NA
"C8_QI559",0,NA,NA,NA
"C8_QI11640",-0.00193874560540157,NA,NA,NA
"C8_QI620",-0.00143993339828459,NA,NA,NA
"C8_QI605",-0.00152324570335081,NA,NA,NA
"C8_QI11635",-0.00136539382933866,NA,NA,NA
"C8_QI607",-0.00110784060032561,NA,NA,NA
"C8_QI11632",0,NA,NA,NA
"C8_QI608",-0.00137879948462211,NA,NA,NA
"C8_QI611",-0.000240197803887194,NA,NA,NA
"C8_QI659",-0.00021390552679245,NA,NA,NA
"C8_QI668",0,NA,NA,NA
"C8_QI662",0,NA,NA,NA
"C8_QI680",0,NA,NA,NA
"C8_QI699",-0.00155959117855764,NA,NA,NA
"C8_QI700",0,NA,NA,NA
"C8_QI717",0,NA,NA,NA
"C8_QI11523",0,NA,NA,NA
"C8_QI791",-0.00132496836171482,NA,NA,NA
"C8_QI11467",-0.00142662861203809,NA,NA,NA
"C8_QI11450",-0.00178246127378502,NA,NA,NA
"C8_QI11446",-0.00158262300299508,NA,NA,NA
"C8_QI823",0,NA,NA,NA
"C8_QI11418",0,NA,NA,NA
"C8_QI11377",0,NA,NA,NA
"C8_QI879",-0.00130077908923136,NA,NA,NA
"C8_QI11425",0,NA,NA,NA
"C8_QI865",0,NA,NA,NA
"C8_QI887",-0.000588618236302407,NA,NA,NA
"C8_QI11354",-0.000406946983408618,NA,NA,NA
"C8_QI11343",0,NA,NA,NA
"C8_QI11322",0,NA,NA,NA
"C8_QI901",0,NA,NA,NA
"C8_QI921",0,NA,NA,NA
"C8_QI919",0,NA,NA,NA
"C8_QI958",0,NA,NA,NA
"C8_QI11299",-1.40690993681161e-05,NA,NA,NA
"C8_QI11274",-0.00196400794187277,NA,NA,NA
"C8_QI11220",0,NA,NA,NA
"C8_QI1012",0,NA,NA,NA
"C8_QI11248",0,NA,NA,NA
"C8_QI11207",0.0489674921427115,NA,NA,NA
"C8_QI11240",0,NA,NA,NA
"C8_QI993",0,NA,NA,NA
"C8_QI1013",0,NA,NA,NA
"C8_QI11194",0,NA,NA,NA
"C8_QI1045",0,NA,NA,NA
"C8_QI1020",0,NA,NA,NA
"C8_QI1059",0,NA,NA,NA
"C8_QI11161",0,NA,NA,NA
"C8_QI11148",0,NA,NA,NA
"C8_QI1082",0,NA,NA,NA
"C8_QI11126",0,NA,NA,NA
"C8_QI1130",0,NA,NA,NA
"C8_QI1120",0,NA,NA,NA
"C8_QI11062",-0.000237146647564639,NA,NA,NA
"C8_QI1170",-0.000217322616127145,NA,NA,NA
"C8_QI1202",-0.00152368510723799,NA,NA,NA
"C8_QI1191",0,NA,NA,NA
"C8_QI1196",0,NA,NA,NA
"C8_QI1195",0,NA,NA,NA
"C8_QI1190",0,NA,NA,NA
"C8_QI11020",0,NA,NA,NA
"C8_QI1210",0,NA,NA,NA
"C8_QI1243",0,NA,NA,NA
"C8_QI1244",-0.00166824409804561,NA,NA,NA
"C8_QI11011",0,NA,NA,NA
"C8_QI10998",-0.00178391089816536,NA,NA,NA
"C8_QI1269",0,NA,NA,NA
"C8_QI1242",0,NA,NA,NA
"C8_QI1295",0,NA,NA,NA
"C8_QI10936",0,NA,NA,NA
"C8_QI10934",0,NA,NA,NA
"C8_QI1326",0,NA,NA,NA
"C8_QI1352",-0.000419998436753432,NA,NA,NA
"C8_QI1369",0,NA,NA,NA
"C8_QI10913",0,NA,NA,NA
"C8_QI10837",-0.0018165282064211,NA,NA,NA
"C8_QI10864",0,NA,NA,NA
"C8_QI1410",-0.00222048196775695,NA,NA,NA
"C8_QI10817",0,NA,NA,NA
"C8_QI1446",0,NA,NA,NA
"C8_QI10799",0,NA,NA,NA
"C8_QI1471",-0.000305071273506019,NA,NA,NA
"C8_QI1456",0,NA,NA,NA
"C8_QI10804",0,NA,NA,NA
"C8_QI10785",0,NA,NA,NA
"C8_QI10757",0,NA,NA,NA
"C8_QI1490",0,NA,NA,NA
